CaseID,trace,length
1-543317665,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",23
1-543979253,"<BOS>, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",6
1-544969832,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",15
1-544976636,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",14
1-550213097,"<BOS>, Accepted, Accepted, Accepted, Queued, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",27
1-557297151,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",20
1-559795575,"<BOS>, Queued, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",26
1-565045794,"<BOS>, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",31
1-567358917,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",13
1-577292898,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",19
1-578864726,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Completed, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",14
1-580893958,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",19
1-580987781,"<BOS>, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",9
1-583200733,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",8
1-587101946,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",13
1-593737913,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",11
1-594260021,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",13
1-597436480,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",15
1-601328051,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",10
1-603556351,"<BOS>, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",11
1-603749197,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",17
1-604144478,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",15
1-605313141,"<BOS>, Queued, Queued, Accepted, Accepted, Completed, Completed, <EOS>",6
1-605956457,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",27
1-606902814,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",7
1-609835209,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",14
1-611261188,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",26
1-613379581,"<BOS>, Queued, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",7
1-614948909,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",24
1-617858557,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",40
1-618854217,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",18
1-619069761,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",23
1-620611187,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",9
1-620858291,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",14
1-621825480,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",24
1-623778166,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",10
1-626766981,"<BOS>, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",11
1-627819166,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",42
1-627973205,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",90
1-629364071,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",9
1-629883996,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, Accepted, Queued, Accepted, Queued, Queued, Accepted, Completed, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",50
1-630181491,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",14
1-632620937,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",10
1-634340171,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",8
1-634738521,"<BOS>, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",23
1-635268712,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",26
1-635375181,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",16
1-636928149,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",14
1-637842042,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",28
1-638018481,"<BOS>, Queued, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",12
1-638289351,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",7
1-638742591,"<BOS>, Accepted, Accepted, Queued, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",46
1-638841644,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",9
1-638945511,"<BOS>, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",11
1-642373523,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Completed, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",30
1-642402641,"<BOS>, Queued, Queued, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",8
1-642411971,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",13
1-642714990,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",21
1-642761396,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",14
1-642781041,"<BOS>, Accepted, Accepted, Completed, Completed, <EOS>",4
1-643338463,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",7
1-643546500,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",12
1-643684191,"<BOS>, Queued, Queued, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",8
1-643733486,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",16
1-644761840,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",24
1-647788578,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",16
1-647953636,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Queued, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",14
1-648471635,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",32
1-648654669,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",7
1-649830550,"<BOS>, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Accepted, Accepted, Completed, Completed, Completed, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",22
1-649950870,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",23
1-650013051,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",9
1-651196130,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",12
1-651324866,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",7
1-652256138,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",8
1-652468131,"<BOS>, Accepted, Accepted, Completed, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",11
1-652924814,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",6
1-652947231,"<BOS>, Queued, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",11
1-653391886,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",7
1-654423931,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",13
1-655021441,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",14
1-655281402,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",26
1-656241183,"<BOS>, Accepted, Accepted, Queued, Accepted, Completed, Completed, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",22
1-656373348,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",10
1-656450664,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",14
1-657323705,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",7
1-657893589,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",7
1-657900377,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",22
1-658045761,"<BOS>, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",11
1-658345511,"<BOS>, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",9
1-658515933,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",7
1-658538636,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",10
1-659129745,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",7
1-659713703,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Completed, Completed, <EOS>",20
1-660051308,"<BOS>, Accepted, Accepted, Queued, Accepted, Completed, Queued, Accepted, Completed, Completed, <EOS>",9
1-660218981,"<BOS>, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",13
1-660730501,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",29
1-660865454,"<BOS>, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",8
1-660915327,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Queued, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",116
1-665922195,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Completed, Completed, <EOS>",8
1-673825643,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",8
1-682281772,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",12
1-683319231,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",7
1-683762637,"<BOS>, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",36
1-684012815,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",12
1-684695843,"<BOS>, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",8
1-685098751,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Completed, Completed, <EOS>",14
1-685155470,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",30
1-686398767,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, Completed, <EOS>",11
